Kepler_ID,2MASS ID,Teff,Log_G,Metallicity (solar=0.0),E(B-V),A_V,Radius (solar=1.0),Photometry_Qual,Astrophysics_Qual
2165574,19302288+3731338,,,,,,,6,0
2165801,19303537+3733096,,,,,,,6,0
2166152,19305377+3734546,,,,,,,4,0
2166332,19310358+3730462,,,,,,,5,0
2166594,19311548+3730248,,,,,,,6,0
2166605,19311636+3730327,,,,,,,8,0
2166940,19313464+3730210,,,,,,,6,0
2166970,19313616+3734093,,,,,,,6,0
2167198,19314721+3731447,,,,,,,6,0
2282855,19034464+3738547,,,,,,,6,0
2283308,19042275+3737310,,,,,,,6,0
2283495,19043718+3737112,,,,,,,6,0
2283540,19044075+3739084,,,,,,,6,0
2283682,19045111+3738272,,,,,,,8,0
2284079,19052109+3736518,,,,,,,8,0
2284278,19053572+3738330,,,,,,,6,0
2284344,19054071+3741286,,,,,,,8,0
2285217,19065057+3736190,,,,,,,6,0
2285420,19070628+3738224,,,,,,,5,0
2285586,19071962+3737260,,,,,,,8,0
2297390,19204605+3737452,,,,,,,2,0
2297488,,,,,,,,5,0
2297739,19210094+3741101,,,,,,,4,0
2299543,19224014+3736381,,,,,,,4,0
2300105,19231279+3739074,,,,,,,4,0
2300319,19232446+3741587,,,,,,,8,0
2300399,19232831+3741495,,,,,,,6,0
2300795,19235135+3737114,,,,,,,6,0
2302188,19250776+3741060,,,,,,,6,0
2302297,19251471+3736334,,,,,,,6,0
2303289,19260333+3737527,,,,,,,6,0
2303576,,,,,,,,5,0
2303610,19262054+3740556,,,,,,,6,0
2304695,19271915+3735596,,,,,,,3,0
2304850,19272748+3736508,,,,,,,6,0
2304943,,,,,,,,5,0
2305562,19280738+3736456,,,,,,,6,0
2305669,19281221+3739151,,,,,,,6,0
2305862,19282205+3738079,,,,,,,8,0
2305866,19282240+3736485,,,,,,,6,0
2305871,19282277+3741259,,,,,,,6,0
2306482,19285257+3739185,,,,,,,6,0
2308241,19302514+3741310,,,,,,,6,0
2308761,19305119+3741433,,,,,,,6,0
2308762,19305126+3736492,,,,,,,6,0
2309772,19314582+3740048,,,,,,,6,0
2310019,19320011+3736456,,,,,,,2,0
2310370,19321861+3737276,,,,,,,6,0
2311187,19330292+3738504,,,,,,,2,0
2422090,19033458+3744299,,,,,,,5,0
2422886,19043696+3743134,,,,,,,6,0
2423316,19051355+3743080,,,,,,,6,0
2423809,19055004+3746170,,,,,,,6,0
2423932,19055970+3746425,,,,,,,6,0
2424675,19070272+3742409,,,,,,,5,0
2424847,19071675+3742326,,,,,,,5,0
2425331,19075534+3745562,,,,,,,6,0
2435971,19201906+3747162,,,,,,,5,0
2436324,19203219+3744208,,,,,,,6,0
2436378,,,,,,,,4,0
2436450,,,,,,,,3,0
2436772,19204245+3744434,,,,,,,3,0
2436791,19204327+3745061,,,,,,,3,0
2436866,19204456+3747144,,,,,,,4,0
2436901,19204539+3746327,,,,,,,4,0
2437051,19204770+3745427,,,,,,,5,0
2437223,19205058+3746576,,,,,,,0,0
2437252,19205095+3746053,,,,,,,5,0
2437446,19205424+3746009,,,,,,,3,0
2437505,19205519+3746397,,,,,,,5,0
2437682,19205823+3747528,,,,,,,2,0
2437684,19205832+3743292,,,,,,,6,0
2437688,19205845+3747593,,,,,,,5,0
2437783,19210061+3745481,,,,,,,2,0
2437901,19210289+3746038,,,,,,,5,0
2437937,19210394+3746576,,,,,,,4,0
2437940,19210394+3746576,,,,,,,3,0
2438061,19210648+3747274,,,,,,,0,0
2438062,19210651+3747320,,,,,,,5,0
2438114,19210780+3747582,,,,,,,5,0
2438324,,,,,,,,5,0
2438470,19211752+3747256,,,,,,,6,0
2439118,19214760+3743582,,,,,,,3,0
2439250,19215399+3744222,,,,,,,3,0
2439736,19222199+3745505,,,,,,,2,0
2439996,19223791+3745300,,,,,,,6,0
2440830,19232721+3743451,,,,,,,5,0
2441436,19240130+3747567,,,,,,,6,0
2441566,19240887+3743428,,,,,,,3,0
2442687,19251193+3746409,,,,,,,8,0
2442751,19251541+3742599,,,,,,,6,0
2442862,19252037+3745521,,,,,,,4,0
2443045,19253035+3742251,,,,,,,6,0
2443235,19254128+3746064,,,,,,,5,0
2443393,19254980+3744345,,,,,,,6,0
2443434,19255159+3747425,,,,,,,6,0
2443691,19260530+3747540,,,,,,,6,0
2444527,19265070+3746278,,,,,,,6,0
2444598,19265384+3744148,,,,,,,6,0
2445011,19271636+3745201,,,,,,,6,0
2445416,19273763+3746125,,,,,,,5,0
2445426,19273829+3744552,,,,,,,8,0
2445975,19280748+3746252,,,,,,,5,0
2447027,19285906+3746291,,,,,,,6,0
2447187,19290640+3745231,,,,,,,6,0
2447773,19293516+3746271,,,,,,,8,0
2447832,19293814+3742493,,,,,,,6,0
2448382,19300850+3742259,,,,,,,8,0
2449074,19304640+3742199,,,,,,,6,0
2449090,19304703+3742269,,,,,,,3,0
2449591,19311510+3743342,,,,,,,5,0
2450404,19315889+3743280,,,,,,,6,0
2450610,19321123+3744491,,,,,,,6,0
2451176,19324162+3743037,,,,,,,2,0
2451350,19325014+3744340,,,,,,,6,0
2451577,19330231+3744222,,,,,,,6,0
2451696,19330782+3744081,,,,,,,3,0
2452522,19335135+3747117,,,,,,,3,0
2452771,19340380+3743314,,,,,,,6,0
2452922,19341163+3744037,,,,,,,8,0
2452929,19341228+3745542,,,,,,,8,0
2554152,19031063+3749579,,,,,,,6,0
2554484,19033598+3749336,,,,,,,6,0
2554543,19034166+3750509,,,,,,,6,0
2554834,19040456+3751528,,,,,,,6,0
2554962,19041555+3750309,,,,,,,6,0
2555080,19042273+3750482,,,,,,,6,0
2555088,19042365+3751252,,,,,,,7,0
2555118,19042589+3748227,,,,,,,6,0
2555567,19045883+3749283,,,,,,,4,0
2555680,19050672+3748520,,,,,,,8,0
2555714,19050991+3751260,,,,,,,8,0
2555941,19052558+3752192,,,,,,,6,0
2556387,19060128+3753106,,,,,,,8,0
2556475,19060773+3751570,,,,,,,6,0
2556574,19061622+3750468,,,,,,,5,0
2556625,19062021+3750516,,,,,,,6,0
2556722,19062826+3749304,,,,,,,5,0
2556744,19062933+3749004,,,,,,,6,0
2556804,19063406+3751291,,,,,,,6,0
2556945,19064632+3753242,,,,,,,8,0
2557265,19071081+3750010,,,,,,,6,0
2557302,19071356+3753498,,,,,,,8,0
2557522,19072967+3750242,,,,,,,6,0
