,0
0,1.727330950638005
1,0.9338737584872914
2,1.273387387535529
3,1.3456643445932144
4,1.0131861561935953
5,1.2006783692545382
6,1.6015434318923536
7,1.4264650773940724
8,0.927085685966585
9,1.3277509641287417
10,0.7467817446362383
11,1.648840721871199
12,1.6457243120343696
13,0.9940090702431187
14,1.0211641567349563
15,0.9516500716089451
16,1.5363273453892852
17,1.458725570479063
18,1.1301264746236597
19,1.829493693399972
20,0.8811023209111246
21,0.9456648866697449
22,1.18049823533668
23,1.3421323677049832
24,1.204224512716889
25,1.9948888471940334
26,1.2864080727058
27,1.1971605695444738
28,0.9989734247603221
29,1.4071977006014884
30,1.177220049901593
31,1.4948382280590753
32,0.8996408307834622
33,1.0907103297277982
34,1.29847807378942
35,0.8297666119176952
36,0.7232235541388141
37,0.6513695400463316
38,1.1753618616557526
39,0.8704910146214957
40,1.128559428402146
41,1.2348461429118922
42,1.2882447096656662
43,1.2974051742593322
44,0.8735458835327394
45,1.4322972503425044
46,0.5394280083681805
47,0.7674574197768774
48,1.1131515789570074
49,0.8913589598677553
50,0.8485629530015715
51,1.0814536889992064
52,0.8824829204008346
53,1.6032795682335197
54,0.8649960969214926
55,1.033828807682994
56,1.1364639553796483
57,0.9605324243611592
58,0.8742124789944588
59,1.0377566742171476
60,1.1147076585495068
61,0.9199352975390674
62,1.019105370892506
63,0.934310756057972
64,1.1169321759606212
65,0.9485000928993867
66,0.7503286886934284
67,1.0021533213340175
68,0.4878174449793792
69,0.5367621812315606
70,0.9243819512727282
71,0.5722530100126357
72,0.6890077235758533
73,0.7673338515143596
74,0.5925033019393591
75,0.41084953361104726
76,0.872937764067156
77,0.9941025594818357
78,0.4926922350439957
79,0.9646654103843516
80,0.39930071060686967
81,1.176784823801612
82,0.6380323316791249
83,0.36604359294405114
84,0.6614510501363414
85,0.6401402271037324
86,0.6166252634024676
87,0.4546645648393629
88,0.5826200049504919
89,0.5260924058318297
90,0.87597423422573
91,0.6896642079497481
92,0.8585883051554292
93,0.45646338363188993
94,0.4056521241810148
95,0.742757239101153
96,0.7461396299751062
97,0.9594374647625694
98,0.9067394417324203
99,0.8388051117327856
100,0.6301214085701481
101,0.6384973147707176
102,0.6251597949514173
103,0.5211091544130834
104,0.671627035302622
105,0.5854277232669941
106,0.8553354469783645
107,0.655004681213868
108,0.6682790772315157
109,0.7958960136160902
110,0.8005652374794392
111,0.6534579933201116
112,0.6679882964470888
113,0.7601903274555548
114,0.5042996560075684
115,0.5435444802185818
116,0.34443437376987157
117,0.7630493846497467
118,0.7054784485691595
119,0.8907351588792476
120,0.61700923730209
121,1.237443793553824
122,0.6545139045848577
123,0.8405149756009123
124,0.4107145739279722
125,0.5060499300206596
126,0.23912854346567552
127,0.6991821551939879
128,0.5001695891570758
129,0.7835221473196099
